"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","QASL Framework · Shift-Left Testing","3","HU_REG_01 · Registro de Nuevo Usuario","6","0","HU_REG_01_TS02 · Validaciones Negativas y Manejo de Errores","0"
"0","QASL Framework · Shift-Left Testing","0","HU_REG_01 · Registro de Nuevo Usuario","5","0","HU_REG_01_TS03 · Seguridad e Integración","0"
"0","QASL Framework · Shift-Left Testing","0","HU_REG_01 · Registro de Nuevo Usuario","6","0","HU_REG_01_TS01 · Flujo Principal y Validaciones Positivas","0"
