"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:41 UTC 2025","19796","firefox","TS-001-example.spec.ts","TS-001: Formularios DemoQA","","","TC-002: Validar campos requeridos en Text Box",""
"broken","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:59 UTC 2025","37583","chromium","TS-001-example.spec.ts","TS-001: Formularios DemoQA","","","TC-001: Completar formularios de texto y práctica",""
"failed","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:45 UTC 2025","23809","chromium","TS-002-api-demo.spec.ts","TS-002: BookStore API","","","TC-001: Capturar APIs del catálogo de libros",""
"passed","Thu Dec 04 12:00:46 UTC 2025","Thu Dec 04 12:01:09 UTC 2025","22863","webkit","TS-002-api-demo.spec.ts","TS-002: BookStore API","","","TC-001: Capturar APIs del catálogo de libros",""
"passed","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:48 UTC 2025","27151","webkit","TS-001-example.spec.ts","TS-001: Formularios DemoQA","","","TC-001: Completar formularios de texto y práctica",""
"passed","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:43 UTC 2025","21705","webkit","TS-001-example.spec.ts","TS-001: Formularios DemoQA","","","TC-002: Validar campos requeridos en Text Box",""
"passed","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:45 UTC 2025","24115","firefox","TS-001-example.spec.ts","TS-001: Formularios DemoQA","","","TC-001: Completar formularios de texto y práctica",""
"broken","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:59 UTC 2025","37608","chromium","TS-001-example.spec.ts","TS-001: Formularios DemoQA","","","TC-002: Validar campos requeridos en Text Box",""
"failed","Thu Dec 04 12:00:21 UTC 2025","Thu Dec 04 12:00:44 UTC 2025","22454","firefox","TS-002-api-demo.spec.ts","TS-002: BookStore API","","","TC-001: Capturar APIs del catálogo de libros",""
